Q3 — ESTATE CANDLES: BTCUSDT 5m OHLC, 2026-06-23 14:00 → 21:00 UTC
Source: verified estate cache  C:\Users\luisf\AppData\Local\naiad\data_cache\klines\BTCUSDT_5m.parquet
Bars: 85  (5m, [14:00, 21:00] inclusive)

open_time (UTC)            open       high        low      close        volume
2026-06-23 16:05       62419.30   62718.00   62419.30   62688.20      2496.880
2026-06-23 16:10       62688.20   62812.20   62661.80   62759.00      2431.202
2026-06-23 16:15       62758.90   62801.00   62595.00   62649.60       973.099
2026-06-23 16:20       62649.60   62649.70   62550.00   62572.20       444.002
2026-06-23 16:25       62572.20   62594.40   62541.10   62557.00       195.648
2026-06-23 16:30       62557.00   62634.90   62550.00   62596.30       286.544
2026-06-23 16:35       62596.30   62622.20   62550.00   62575.40       159.828
2026-06-23 16:40       62575.40   62629.40   62569.30   62595.10       142.650
2026-06-23 16:45       62595.20   62614.70   62541.20   62544.10       196.077
2026-06-23 16:50       62544.10   62544.20   62474.50   62482.30       301.286
2026-06-23 16:55       62482.30   62559.20   62458.40   62522.90       241.023
2026-06-23 17:00       62522.90   62529.10   62437.60   62460.60       216.012
2026-06-23 17:05       62460.70   62495.50   62340.00   62424.70       591.553
2026-06-23 17:10       62424.80   62515.00   62390.00   62401.50       346.216
2026-06-23 17:15       62401.40   62549.80   62400.00   62547.70       265.642
2026-06-23 17:20       62547.70   62606.20   62539.40   62581.00       228.183
2026-06-23 17:25       62581.10   62642.30   62578.10   62616.80       228.742
2026-06-23 17:30       62616.80   62634.60   62466.60   62583.60       299.643
2026-06-23 17:35       62583.60   62668.70   62547.10   62569.90       302.441
2026-06-23 17:40       62569.90   62572.00   62478.40   62500.10       130.993
2026-06-23 17:45       62500.10   62528.30   62450.70   62451.00       123.519
2026-06-23 17:50       62451.10   62474.20   62366.00   62366.30       307.287
2026-06-23 17:55       62366.40   62373.10   62301.70   62330.00       444.514
2026-06-23 18:00       62330.00   62420.00   62330.00   62360.80       276.033
2026-06-23 18:05       62360.80   62360.90   62242.20   62285.70       507.947
2026-06-23 18:10       62285.70   62365.00   62285.60   62340.50       217.805
2026-06-23 18:15       62340.50   62369.30   62291.60   62344.30       208.110
2026-06-23 18:20       62344.20   62383.60   62308.80   62348.40       195.112
2026-06-23 18:25       62348.40   62355.40   62312.00   62322.20       185.819
2026-06-23 18:30       62322.20   62322.20   62260.90   62274.60       276.097
2026-06-23 18:35       62274.50   62288.20   62222.00   62236.00       427.592
2026-06-23 18:40       62236.10   62236.10   62118.40   62125.50       696.091
2026-06-23 18:45       62125.50   62169.10   62075.60   62137.30       649.217
2026-06-23 18:50       62137.20   62239.80   62133.90   62225.20       351.078
2026-06-23 18:55       62225.20   62242.90   62190.40   62215.30       198.597
2026-06-23 19:00       62215.30   62348.10   62201.30   62344.50       368.664
2026-06-23 19:05       62344.60   62407.50   62280.00   62319.50       369.893
2026-06-23 19:10       62319.60   62376.30   62291.00   62343.10       173.527
2026-06-23 19:15       62343.00   62346.80   62276.40   62278.60       152.692
2026-06-23 19:20       62278.70   62346.20   62225.00   62294.70       157.661
2026-06-23 19:25       62294.80   62421.50   62277.20   62417.20       219.597
2026-06-23 19:30       62417.20   62467.20   62367.70   62380.10       323.727
2026-06-23 19:35       62380.10   62405.40   62302.00   62332.20       136.627
2026-06-23 19:40       62332.20   62345.10   62272.90   62272.90       156.677
2026-06-23 19:45       62273.00   62291.00   62250.00   62278.50       134.889
2026-06-23 19:50       62278.40   62399.20   62272.00   62380.70       324.589
2026-06-23 19:55       62380.70   62400.00   62322.80   62365.70       272.034
2026-06-23 20:00       62365.70   62518.50   62365.70   62428.40       384.517
2026-06-23 20:05       62428.50   62484.00   62421.50   62475.00       155.774
2026-06-23 20:10       62475.10   62481.70   62406.60   62416.00       307.974
2026-06-23 20:15       62416.10   62452.70   62383.60   62449.20       142.056
2026-06-23 20:20       62449.20   62466.60   62406.60   62426.40       110.497
2026-06-23 20:25       62426.40   62495.90   62390.60   62464.50       285.045
2026-06-23 20:30       62464.50   62473.50   62428.00   62445.50       132.485
2026-06-23 20:35       62445.50   62464.80   62420.10   62463.70       125.456
2026-06-23 20:40       62463.70   62463.80   62435.00   62448.70        78.559
2026-06-23 20:45       62448.70   62450.50   62397.10   62401.10       162.594
2026-06-23 20:50       62401.20   62442.00   62344.20   62377.80       163.179
2026-06-23 20:55       62377.70   62450.00   62377.70   62439.80       169.565
2026-06-23 21:00       62439.90   62587.60   62439.90   62534.30       383.432
------------------------------------------------------------------------------
window   O=62446.50  H=62837.10  L=62075.60  C=62534.30

Break CONFIRM bars (short stop ratchets down as price makes lower closes):
  17:00  O=62522.90 H=62529.10 L=62437.60 C=62460.60
  17:45  O=62500.10 H=62528.30 L=62450.70 C=62451.00
  20:45  O=62448.70 H=62450.50 L=62397.10 C=62401.10
